# Passives.csv — 패시브 수치 원본. 값은 전부 "덧셈 보너스"이고 인덱스 = 레벨-1 (Lv1~Lv5).
# 누적이 아니라 "그 레벨일 때의 총 보너스"다. Lv3 이면 3번째 값만 더해진다.
#
# 단위 주의
#   BonusDamage           : 배율 가산. 0.1 = 최종 데미지 +10%
#   BonusAttackSpeed      : 쿨다운 배수 가산이라 음수가 빠르다. -0.1 = 공격 간격 10% 단축
#   BonusBuildingCooldown : 건물 쿨다운 배수 가산. 음수가 빠르다. -0.1 = 건물 주기 10% 단축
#   BonusXpGain           : 배율 가산. 0.15 = 경험치 +15%
#   BonusGoldGain         : 배율 가산. 0.15 = 골드 +15%
#   BonusMaxHp / BonusArmor / BonusMoveSpeed / BonusPickupRadius : 절대값 가산
#   BonusLuck             : 픽업 드랍 확률에 곱하는 배율에 더해진다 (C23).
#                           최종확률 = 기본확률 x (1 + Luck). 0.5 면 1.5배.
#                           곡선은 GoldGain 과 같다 — 둘 다 "이미 떨어지는 걸 더 받는" 패시브다.
#
# 패시브 하나는 자기 스탯 한 줄만 채우고 나머지는 0 으로 둔다 (효과를 읽기 쉽게).
Id,PassiveName,BonusMaxHp,BonusMoveSpeed,BonusDamage,BonusAttackSpeed,BonusProjectileSize,BonusPickupRadius,BonusCritChance,BonusArmor,BonusXpGain,BonusGoldGain,BonusBuildingCooldown,BonusLuck,BonusHpRegen,BonusSummonCount,BonusTeleportInterval,BonusShieldInterval
Damage,Damage Up,0|0|0|0|0,0|0|0|0|0,0.1|0.2|0.3|0.42|0.55,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0
MoveSpeed,Move Speed,0|0|0|0|0,0.3|0.6|0.9|1.25|1.6,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0
AttackSpeed,Attack Speed,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,-0.06|-0.12|-0.18|-0.24|-0.3,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0
MaxHp,Max Health,25|55|90|130|175,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0
Armor,Armor,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,1|2|3|5|7,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0
PickupRadius,Pickup Radius,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0.6|1.3|2.1|3|4,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0
XpGain,Experience Gain,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0.12|0.25|0.4|0.55|0.75,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0
GoldGain,Gold Gain,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0.15|0.3|0.5|0.7|1,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0
CritChance,Critical Chance,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0.04|0.08|0.13|0.18|0.25,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0
BuildingCooldown,Building Speed,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,-0.1|-0.18|-0.26|-0.34|-0.42,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0
# ── 행운 (C23) — 픽업 드랍 확률 배율. 유일하게 "다른 시스템의 확률"을 건드리는 패시브다.
#    Lv5 = 1.0 이면 드랍이 정확히 2배다. 종합 드랍 6.7% -> 13.4%, 층당 5.6개 -> 11.2개.
#    ⚠️ 이 값만 봐서는 세기를 알 수 없다 — 기본확률 6종과 같이 봐야 한다 (TUNING.md §3 "픽업 드랍 확률").
Luck,Luck,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0.15|0.3|0.5|0.7|1,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0
