# SceneWiring.csv — 씬 컴포넌트의 "애셋 참조 배열"을 CSV 로 관리한다.
# 새 아이템/웨이브를 추가할 때마다 인스펙터에 드래그하는 수고를 없애려는 표다.
#
# Value 는 애셋 경로이며 배열은 | 로 구분한다. 빈 칸이면 그 필드는 건드리지 않는다.
# 씬 안의 오브젝트(ObjectPool, Transform 등)는 경로로 지정할 수 없어 여기서 다루지 않는다.
Component,Field,Value,Note
LevelUpManager,allItems,Assets/Game/ItemData/Sword.asset|Assets/Game/ItemData/Bow.asset|Assets/Game/ItemData/Gun.asset|Assets/Game/ItemData/Fireball.asset|Assets/Game/ItemData/Bomb.asset|Assets/Game/ItemData/Turret.asset|Assets/Game/ItemData/Bombard.asset|Assets/Game/ItemData/Village.asset|Assets/Game/ItemData/Farm.asset|Assets/Game/ItemData/Restaurant.asset|Assets/Game/ItemData/Damage.asset|Assets/Game/ItemData/Speed.asset|Assets/Game/ItemData/AttackSpeed.asset|Assets/Game/ItemData/MaxHp.asset|Assets/Game/ItemData/Armor.asset|Assets/Game/ItemData/PickupRadius.asset|Assets/Game/ItemData/XpGain.asset|Assets/Game/ItemData/GoldGain.asset|Assets/Game/ItemData/CritChance.asset|Assets/Game/ItemData/BuildingCooldown.asset|Assets/Game/ItemData/Shuriken.asset|Assets/Game/ItemData/Toxin.asset|Assets/Game/ItemData/SummonDragon.asset|Assets/Game/ItemData/SummonOctopus.asset|Assets/Game/ItemData/Luck.asset,레벨업/상점 후보 전체 목록
WaveManager,normalWaves,Assets/Game/WaveData/Normal1.asset|Assets/Game/WaveData/Normal2.asset|Assets/Game/WaveData/Normal3.asset,노말 스테이지에서 무작위로 하나 선택
WaveManager,eliteWaves,Assets/Game/WaveData/Elite1.asset|Assets/Game/WaveData/Elite2.asset,엘리트 스테이지에서 무작위로 하나 선택
WaveManager,bossWave,Assets/Game/WaveData/Boss1.asset,보스 스테이지 고정
GameManager,classes,Assets/Game/ClassData/Warrior.asset|Assets/Game/ClassData/Ranger.asset|Assets/Game/ClassData/Mage.asset|Assets/Game/ClassData/Demolitionist.asset|Assets/Game/ClassData/Assassin.asset|Assets/Game/ClassData/Summoner.asset,직업 목록. 여기 없는 직업은 선택 화면에 뜨지 않는다
MetaProgressionManager,upgrades,Assets/Game/UpgradeData/UpPickupRadius.asset|Assets/Game/UpgradeData/UpMaxHp.asset|Assets/Game/UpgradeData/UpDamage.asset|Assets/Game/UpgradeData/UpXpGain.asset|Assets/Game/UpgradeData/UpCritMultiplier.asset|Assets/Game/UpgradeData/UpArmor.asset|Assets/Game/UpgradeData/UpMoveSpeed.asset,메타 강화 목록. 순서가 곧 화면 카드 순서다 (C29 가 정한 순서 · D33 이 이 줄을 열었다)
BuildingManager,placementBlockLayer,Building,이 레이어와 겹치면 설치를 막는다. 레이어 "이름"을 | 로 나열
ExperienceManager,chestPrefab,Assets/Prefabs/Pickup_Chest.prefab,엘리트/보스가 확정으로 떨구는 보물상자
ExperienceManager,pickupPrefabs,Assets/Prefabs/Pickup_Gold.prefab|Assets/Prefabs/HealPickup.prefab|Assets/Prefabs/Pickup_Haste.prefab|Assets/Prefabs/Pickup_Bomb.prefab|Assets/Prefabs/Pickup_Magnet.prefab|Assets/Prefabs/Pickup_Invincible.prefab,잡몹 드랍표. pickupChances 와 같은 순서·같은 길이여야 한다. 순서 Gold/Heal/Haste/Bomb/Magnet/Invincible
ExperienceManager,pickupChances,0.025|0.015|0.01|0.007|0.006|0.004,위 순서대로의 기본 드랍 확률. 합 6.7%. 적 1마리당 굴림 1번이므로 이 합이 곧 드랍률이다. 행운은 여기에 종별로 곱해진다
ExperienceManager,healPickupAmount,30,드랍 힐의 회복량. 기본 최대체력 100 기준 30%. 식당 Output(15/25/40/60/85)보다 크면 건물 투자가 손해로 보인다 → TUNING.md
EvolutionManager,allEvolutions,Assets/Game/EvolutionData/Excalibur.asset|Assets/Game/EvolutionData/Windforce.asset|Assets/Game/EvolutionData/Devastator.asset,무기 진화 레시피 전체. 결과 아이템은 LevelUpManager,allItems 에 넣지 말 것
EvolutionManager,classEvolutions,Assets/Game/ClassEvolutionData/Sentinel.asset|Assets/Game/ClassEvolutionData/Doomlord.asset|Assets/Game/ClassEvolutionData/Warden.asset|Assets/Game/ClassEvolutionData/Aegis.asset,직업 승급 레시피 전체. 결과 직업은 GameManager,classes 에 넣지 말 것
HUDManager,levelUpEffect,Assets/Prefabs/Fx_LevelUp.prefab,레벨업 순간 플레이어 자리에 뜨는 청록 파동 (D41). 흔들림 없음 — 레벨업은 자주 난다
EvolutionManager,promoteEffect,Assets/Prefabs/Fx_Promote.prefab,승급 순간의 금색 파동 (D41). 승급은 이 게임에서 가장 큰 성취인데 연출이 0 이었다
